id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
A55,4.8,3.7142857142857144,2.5,3.2,post,A,在學中，且目前於企業實習(工讀),2.2
A56,5.0,4.142857142857143,1.3333333333333333,4.4,post,A,在學中，且目前於企業實習(工讀),2.8
A57,4.6,4.142857142857143,2.6666666666666665,2.6,post,A,在學中，且目前於企業實習(工讀),2.8
A58,3.8,3.7142857142857144,3.1666666666666665,4.0,post,A,在學中，且目前於企業實習(工讀),3.8
B13,3.6,4.0,2.6666666666666665,3.2,post,B,職場新鮮人（入職 1 年以內）,3.0
B22,4.0,4.0,2.5,3.0,post,B,職場新鮮人（入職 1 年以內）,3.4
B23,3.8,4.0,2.5,3.2,post,B,在學中，且目前於企業實習(工讀),3.0
B27,2.8,2.7142857142857144,3.5,3.0,post,B,職場新鮮人（入職 1 年以內）,2.8
B29,3.6,3.5714285714285716,2.6666666666666665,2.8,post,B,在學中，且目前於企業實習(工讀),2.8
B30,4.4,4.714285714285714,2.3333333333333335,2.4,post,B,職場新鮮人（入職 1 年以內）,2.6
B31,1.6,2.4285714285714284,3.5,2.8,post,B,職場新鮮人（入職 1 年以內）,5.0
B32,3.4,2.0,4.166666666666667,2.6,post,B,在學中，且目前於企業實習(工讀),2.6
B33,5.0,3.0,3.0,3.0,post,B,在學中，且目前於企業實習(工讀),4.0
B34,4.0,4.142857142857143,1.6666666666666667,3.6,post,B,在學中，且目前於企業實習(工讀),3.0
B35,3.6,3.5714285714285716,2.3333333333333335,3.4,post,B,在學中，且目前於企業實習(工讀),3.2
B36,3.4,3.7142857142857144,1.0,3.8,post,B,在學中，且目前於企業實習(工讀),4.0
B37,3.0,2.857142857142857,3.6666666666666665,3.2,post,B,在學中，且目前於企業實習(工讀),3.0
B38,2.6,2.857142857142857,3.3333333333333335,1.4,post,B,在學中，且目前於企業實習(工讀),2.8
B39,4.8,3.7142857142857144,2.6666666666666665,3.2,post,B,在學中，且目前於企業實習(工讀),2.6
