id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
B16,3.8,3.4285714285714284,2.6666666666666665,3.8,pre,B,職場新鮮人,3.8
B17,3.2,3.5714285714285716,3.6666666666666665,2.6,pre,B,在學實習生,2.6
B18,3.0,3.142857142857143,2.3333333333333335,3.2,pre,B,職場新鮮人,3.2
B19,2.2,3.5714285714285716,4.333333333333333,2.0,pre,B,職場新鮮人,2.0
B21,3.6,3.2857142857142856,2.8333333333333335,3.0,pre,B,在學實習生,3.0
B22,4.2,4.285714285714286,2.0,3.4,pre,B,職場新鮮人（入職 1 年以內）,3.4
B23,3.6,3.7142857142857144,2.6666666666666665,3.0,pre,B,在學中，且目前於企業實習(工讀),3.0
B24,3.2,4.0,2.6666666666666665,2.4,pre,B,在學實習生,2.4
B25,4.0,4.142857142857143,2.3333333333333335,3.6,pre,B,在學實習生,3.6
B26,2.6,4.0,4.0,3.8,pre,B,職場新鮮人,3.8
B27,3.2,3.2857142857142856,3.0,2.8,pre,B,職場新鮮人（入職 1 年以內）,2.8
B29,3.0,3.0,2.5,2.8,pre,B,在學中，且目前於企業實習(工讀),2.8
B30,3.8,2.4285714285714284,4.666666666666667,2.6,pre,B,職場新鮮人（入職 1 年以內）,2.6
B31,1.0,3.2857142857142856,4.0,5.0,pre,B,職場新鮮人（入職 1 年以內）,5.0
B32,1.6,3.0,4.0,2.6,pre,B,在學中，且目前於企業實習(工讀),2.6
B33,3.8,3.4285714285714284,3.0,4.0,pre,B,在學中，且目前於企業實習(工讀),4.0
B34,5.0,4.285714285714286,2.3333333333333335,3.0,pre,B,在學中，且目前於企業實習(工讀),3.0
B35,3.6,3.2857142857142856,3.5,3.2,pre,B,在學中，且目前於企業實習(工讀),3.2
B36,3.4,4.0,2.3333333333333335,4.0,pre,B,在學中，且目前於企業實習(工讀),4.0
B37,2.8,2.2857142857142856,3.6666666666666665,3.0,pre,B,在學中，且目前於企業實習(工讀),3.0
B38,2.8,2.5714285714285716,3.5,2.8,pre,B,在學中，且目前於企業實習(工讀),2.8
B39,4.0,4.285714285714286,2.1666666666666665,2.6,pre,B,在學中，且目前於企業實習(工讀),2.6
B41,3.4,4.714285714285714,2.0,2.8,pre,B,在學中，且目前於企業實習(工讀),2.8
B43,3.6,3.4285714285714284,3.1666666666666665,3.2,pre,B,在學中，且目前於企業實習(工讀),3.2
B44,3.4,3.4285714285714284,3.3333333333333335,4.0,pre,B,在學中，且目前於企業實習(工讀),4.0
B45,2.6,4.0,2.3333333333333335,2.8,pre,B,在學中，且目前於企業實習(工讀),2.8
B46,2.2,3.4285714285714284,3.6666666666666665,2.4,pre,B,職場新鮮人（入職 1 年以內）,2.4
B47,3.4,4.857142857142857,3.0,3.6,pre,B,在學中，且目前於企業實習(工讀),3.6
B48,2.2,2.857142857142857,3.6666666666666665,2.8,pre,B,職場新鮮人（入職 1 年以內）,2.8
B49,3.4,2.857142857142857,3.5,2.6,pre,B,在學中，且目前於企業實習(工讀),2.6
B50,3.0,3.857142857142857,3.3333333333333335,3.0,pre,B,在學中，且目前於企業實習(工讀),3.0
B51,3.6,3.7142857142857144,3.0,4.4,pre,B,職場新鮮人（入職 1 年以內）,4.4
B52,3.4,3.2857142857142856,3.5,3.0,pre,B,在學中，且目前於企業實習(工讀),3.0
B53,3.0,3.0,3.0,3.0,pre,B,在學中，且目前於企業實習(工讀),3.0
B54,4.2,3.7142857142857144,3.8333333333333335,3.8,pre,B,在學中，且目前於企業實習(工讀),3.8
B55,3.4,2.857142857142857,3.1666666666666665,3.4,pre,B,在學中，且目前於企業實習(工讀),3.4
B56,2.6,3.142857142857143,3.1666666666666665,3.0,pre,B,職場新鮮人（入職 1 年以內）,3.0
B58,3.0,3.2857142857142856,3.0,3.4,pre,B,在學中，且目前於企業實習(工讀),3.4
A01,4.0,3.0,2.5,4.0,post,A,在學實習生,4.0
A02,3.6,3.4285714285714284,3.1666666666666665,1.4,post,A,在學實習生,1.0
A03,3.6,3.4285714285714284,3.0,3.6,post,A,職場新鮮人,2.8
A04,4.0,3.5714285714285716,2.8333333333333335,4.0,post,A,職場新鮮人,3.6
A05,4.0,3.7142857142857144,3.0,4.0,post,A,在學實習生,3.0
A06,4.2,3.857142857142857,1.5,3.4,post,A,職場新鮮人,3.6
A07,4.0,3.7142857142857144,2.5,3.2,post,A,職場新鮮人（入職 1 年以內）,3.0
A08,2.6,2.5714285714285716,1.8333333333333333,4.0,post,A,職場新鮮人,4.0
A09,4.4,3.7142857142857144,3.3333333333333335,4.0,post,A,職場新鮮人,4.2
A10,4.2,3.7142857142857144,4.333333333333333,4.0,post,A,職場新鮮人,5.0
A11,5.0,5.0,2.1666666666666665,5.0,post,A,職場新鮮人,5.0
A12,4.4,4.142857142857143,2.5,3.6,post,A,職場新鮮人,4.2
A13,3.0,4.571428571428571,2.8333333333333335,3.2,post,A,職場新鮮人,2.8
A15,3.8,3.857142857142857,2.6666666666666665,3.6,post,A,職場新鮮人,3.2
A16,5.0,4.571428571428571,1.8333333333333333,3.0,post,A,在學實習生,4.0
A17,2.8,3.0,3.0,4.0,post,A,在學實習生,3.2
A18,3.6,3.2857142857142856,3.1666666666666665,4.2,post,A,在學實習生,4.4
A19,4.0,3.7142857142857144,2.3333333333333335,3.8,post,A,在學實習生,3.0
A20,3.2,3.0,2.8333333333333335,3.8,post,A,在學實習生,3.6
A21,4.0,4.0,2.6666666666666665,4.0,post,A,在學實習生,3.0
A22,1.8,3.7142857142857144,2.8333333333333335,4.4,post,A,在學實習生,3.0
A23,3.0,2.5714285714285716,2.6666666666666665,3.6,post,A,職場新鮮人,2.8
A24,4.0,3.0,2.3333333333333335,4.0,post,A,在學實習生,3.8
A25,4.0,3.5714285714285716,2.5,3.6,post,A,職場新鮮人,3.0
A26,3.2,3.7142857142857144,2.0,3.8,post,A,職場新鮮人,2.6
A27,3.4,4.0,3.8333333333333335,3.2,post,A,在學中，且目前於企業實習(工讀),3.2
A28,3.8,3.857142857142857,3.6666666666666665,4.2,post,A,職場新鮮人（入職 1 年以內）,4.2
A29,5.0,4.428571428571429,1.0,5.0,post,A,在學中，且目前於企業實習(工讀),5.0
A30,2.6,3.2857142857142856,4.0,3.8,post,A,在學中，且目前於企業實習(工讀),3.6
A31,4.0,2.2857142857142856,4.5,2.4,post,A,在學中，且目前於企業實習(工讀),3.0
A32,3.2,2.857142857142857,3.6666666666666665,3.0,post,A,職場新鮮人（入職 1 年以內）,2.8
A33,3.2,1.4285714285714286,4.666666666666667,4.4,post,A,職場新鮮人（入職 1 年以內）,3.4
A35,3.0,3.0,3.0,3.0,post,A,在學中，且目前於企業實習(工讀),3.8
A36,3.4,3.4285714285714284,4.166666666666667,3.8,post,A,在學中，且目前於企業實習(工讀),1.2
A37,3.8,3.857142857142857,2.5,4.2,post,A,職場新鮮人（入職 1 年以內）,4.2
A38,2.6,3.2857142857142856,3.8333333333333335,3.8,post,A,職場新鮮人（入職 1 年以內）,4.0
A39,3.2,3.2857142857142856,2.8333333333333335,3.0,post,A,在學中，且目前於企業實習(工讀),2.4
A40,3.4,3.4285714285714284,3.3333333333333335,4.0,post,A,職場新鮮人（入職 1 年以內）,3.6
A41,3.8,3.857142857142857,2.3333333333333335,2.6,post,A,職場新鮮人（入職 1 年以內）,4.0
A42,4.6,4.428571428571429,2.0,3.8,post,A,職場新鮮人（入職 1 年以內）,3.4
A43,4.4,4.428571428571429,1.6666666666666667,3.8,post,A,職場新鮮人（入職 1 年以內）,3.4
A44,3.0,3.0,3.0,4.0,post,A,職場新鮮人（入職 1 年以內）,4.2
A46,3.2,4.0,2.8333333333333335,2.2,post,A,在學中，且目前於企業實習(工讀),3.4
A47,5.0,3.0,3.0,3.0,post,A,職場新鮮人（入職 1 年以內）,3.0
A48,4.0,2.857142857142857,2.0,2.2,post,A,職場新鮮人（入職 1 年以內）,2.8
A49,3.2,3.2857142857142856,3.3333333333333335,2.8,post,A,在學中，且目前於企業實習(工讀),4.0
A50,4.0,3.7142857142857144,2.6666666666666665,4.0,post,A,在學中，且目前於企業實習(工讀),4.0
A51,4.2,4.428571428571429,2.5,4.0,post,A,在學中，且目前於企業實習(工讀),2.4
A52,3.0,3.0,3.0,3.0,post,A,職場新鮮人（入職 1 年以內）,2.4
A53,4.2,4.285714285714286,3.0,3.6,post,A,職場新鮮人（入職 1 年以內）,2.6
A54,4.0,3.7142857142857144,2.6666666666666665,3.8,post,A,在學中，且目前於企業實習(工讀),3.0
A55,4.8,3.7142857142857144,2.5,3.2,post,A,在學中，且目前於企業實習(工讀),2.2
A56,5.0,4.142857142857143,1.3333333333333333,4.4,post,A,在學中，且目前於企業實習(工讀),2.8
A57,4.6,4.142857142857143,2.6666666666666665,2.6,post,A,在學中，且目前於企業實習(工讀),2.8
A58,3.8,3.7142857142857144,3.1666666666666665,4.0,post,A,在學中，且目前於企業實習(工讀),3.8
B01,3.6,3.7142857142857144,3.1666666666666665,3.0,post,B,在學實習生,3.0
B02,2.6,3.857142857142857,3.3333333333333335,3.2,post,B,在學實習生,3.8
B03,4.0,3.7142857142857144,1.6666666666666667,3.6,post,B,在學實習生,3.6
B04,2.4,2.857142857142857,4.0,3.2,post,B,職場新鮮人,3.2
B05,3.2,2.7142857142857144,2.1666666666666665,3.0,post,B,職場新鮮人,3.6
B06,2.0,2.7142857142857144,4.666666666666667,4.6,post,B,職場新鮮人,4.4
B07,3.6,3.0,3.6666666666666665,3.4,post,B,在學實習生,4.0
B08,4.4,3.5714285714285716,1.3333333333333333,4.6,post,B,職場新鮮人,4.6
B09,1.6,2.2857142857142856,3.8333333333333335,4.8,post,B,職場新鮮人,4.2
B10,2.8,3.857142857142857,3.3333333333333335,4.0,post,B,職場新鮮人,3.8
B12,2.8,3.142857142857143,3.3333333333333335,3.0,post,B,職場新鮮人,3.6
B13,3.6,4.0,2.6666666666666665,3.2,post,B,職場新鮮人（入職 1 年以內）,3.0
B14,3.0,3.0,3.0,3.0,post,B,職場新鮮人,3.0
B16,3.8,3.4285714285714284,4.0,3.8,post,B,職場新鮮人,3.8
B17,4.0,3.5714285714285716,3.3333333333333335,3.2,post,B,在學實習生,2.6
B18,3.2,3.4285714285714284,2.6666666666666665,2.8,post,B,職場新鮮人,3.2
B19,2.8,3.4285714285714284,3.0,2.6,post,B,職場新鮮人,2.0
B21,5.0,4.428571428571429,3.0,5.0,post,B,在學實習生,3.0
B22,4.0,4.0,2.5,3.0,post,B,職場新鮮人（入職 1 年以內）,3.4
B23,3.8,4.0,2.5,3.2,post,B,在學中，且目前於企業實習(工讀),3.0
B24,4.0,3.0,1.5,2.8,post,B,在學實習生,2.4
B25,4.0,4.857142857142857,2.3333333333333335,3.2,post,B,在學實習生,3.6
B26,3.0,4.285714285714286,4.5,3.6,post,B,職場新鮮人,3.8
