id,comm_eff,psych_safety,stai6,trust_ai,time,group,role,trust_ai_pre
B01,3.6,3.7142857142857144,3.1666666666666665,3.0,post,B,在學實習生,3.0
B02,2.6,3.857142857142857,3.3333333333333335,3.2,post,B,在學實習生,3.8
B03,4.0,3.7142857142857144,1.6666666666666667,3.6,post,B,在學實習生,3.6
B04,2.4,2.857142857142857,4.0,3.2,post,B,職場新鮮人,3.2
B05,3.2,2.7142857142857144,2.1666666666666665,3.0,post,B,職場新鮮人,3.6
B06,2.0,2.7142857142857144,4.666666666666667,4.6,post,B,職場新鮮人,4.4
B07,3.6,3.0,3.6666666666666665,3.4,post,B,在學實習生,4.0
B08,4.4,3.5714285714285716,1.3333333333333333,4.6,post,B,職場新鮮人,4.6
B09,1.6,2.2857142857142856,3.8333333333333335,4.8,post,B,職場新鮮人,4.2
B10,2.8,3.857142857142857,3.3333333333333335,4.0,post,B,職場新鮮人,3.8
B11,3.4,4.142857142857143,2.0,3.0,post,B,X(資格不符),2.8
B12,2.8,3.142857142857143,3.3333333333333335,3.0,post,B,職場新鮮人,3.6
B14,3.0,3.0,3.0,3.0,post,B,職場新鮮人,3.0
B15,4.0,1.8571428571428572,4.5,4.0,post,B,X(資格不符),1.0
B16,3.8,3.4285714285714284,4.0,3.8,post,B,職場新鮮人,3.8
B17,4.0,3.5714285714285716,3.3333333333333335,3.2,post,B,在學實習生,2.6
B18,3.2,3.4285714285714284,2.6666666666666665,2.8,post,B,職場新鮮人,3.2
B19,2.8,3.4285714285714284,3.0,2.6,post,B,職場新鮮人,2.0
B21,5.0,4.428571428571429,3.0,5.0,post,B,在學實習生,3.0
B24,4.0,3.0,1.5,2.8,post,B,在學實習生,2.4
B25,4.0,4.857142857142857,2.3333333333333335,3.2,post,B,在學實習生,3.6
B26,3.0,4.285714285714286,4.5,3.6,post,B,職場新鮮人,3.8
A01,3.6,3.8333333333333335,4.0,,delay,A,在學實習生,4.0
A02,3.4,3.6666666666666665,4.0,,delay,A,在學實習生,1.0
A03,4.0,3.3333333333333335,3.0,,delay,A,職場新鮮人,2.8
A04,4.0,4.0,4.0,,delay,A,職場新鮮人,3.6
